%Dataset Ejemplo KNN Visión Por Computador.
@RELATION Rostros

@ATTRIBUTE AngularSecond		REAL
@ATTRIBUTE Contrast				REAL
@ATTRIBUTE Correlacion			REAL
@ATTRIBUTE SumOfSquares			REAL
@ATTRIBUTE InverseDifference	REAL
@ATTRIBUTE SumAverage			REAL
@ATTRIBUTE SumEntropy			REAL
@ATTRIBUTE SumVariance			REAL
@ATTRIBUTE Entropy				REAL
@ATTRIBUTE DifferenceVariance	REAL
@ATTRIBUTE DifferenceEntropy	REAL
@ATTRIBUTE InfoMCorrelation1	REAL
@ATTRIBUTE InfoMCorrelation2    REAL
@ATTRIBUTE MCCoefficient		REAL
@ATTRIBUTE Class 	{Alessandra-A,Jessica-A,Megan-F}

@DATA
109129.25,894,187076.9381,3790190,3685.895121,1196.5,37973.8863,-287.885607,-18687.47267,162.7935268,-393.5041871,-1.740720138,0,0.089096883,Jessica-A
107871.125,0,62464.97933,1587301.25,3450.845006,0,0,0,-22940.17594,0,0,-1.696437484,0,0,Jessica-A
127021.875,1077,131902.0473,3568222,3730.079664,2678.5,478829.4947,-1337.502794,-18260.85651,3359.446429,-1586.210393,-1.747875248,0,0.175108454,Jessica-A
116152,18.5,107195.0273,2808271,3604.644029,16,14.40940971,0.908908735,-21389.80883,0.079241071,1.255482325,-1.71283096,0,0.064131628,Jessica-A
106505.625,8.5,148752.1764,8665677,2912.435996,37,31.28153576,2.079441542,-15377.38134,0.159598214,0.908908735,-1.791093284,0,0.01400857,Jessica-A
165898.375,14.5,90783.0431,2021974.25,4199.070031,51.5,48.04781513,0.863046217,-24923.07207,0.357142857,-0.261624072,-1.668403197,0,0.058251361,Jessica-A
117182.25,130.5,99929.27082,3217012.75,3478.31698,312.5,1126.810263,-28.82514204,-20830.53242,12.27566964,-49.14632773,-1.718974703,0,0.035785061,Jessica-A
224911,0,54219.35646,1349579,4631.026399,0,0,0,-31744.96662,0,0,-1.600308603,0,0,Jessica-A
186460.375,1055.5,64752.14477,1604897,4443.058865,3765.5,413583.1699,-1181.882249,-27094.93893,2405.266741,-1516.489298,-1.646306878,0,0.195461703,Jessica-A
430679.375,303,70465.79374,1733722,5541.489497,321.5,2059.668878,-46.35117007,-31982.84509,11.78125,-67.63898275,-1.591691326,0,0.042964416,Jessica-A
98429.625,29,252053.781,2885396.5,3608.161319,155,241.2063238,-7.336708408,-17703.86907,4.061383929,-13.87952244,-1.75086423,0,0.003303354,Jessica-A
64602.875,58,148168.2556,3817938.75,2571.088327,111.5,118.9903545,-0.74903545,-14671.4944,2.017857143,-7.0327471,-1.797341164,0,0.024675294,Jessica-A
140976.625,482.75,89353.24174,2103399.75,3835.241779,959.25,17640.46552,-181.8116132,-23228.67844,118.0792411,-261.6804639,-1.689044289,0,0.06518909,Jessica-A
86723.375,79.25,152853.7281,3965933.5,2872.94436,78.75,74.57852948,0.538254261,-16254.22791,0.668526786,-3.01968217,-1.777741633,0,0.058748052,Jessica-A
102024.125,155.5,140279.8819,5242155.75,3005.015388,204,722.4602864,-22.06213985,-17092.23599,7.549107143,-35.01208306,-1.769518418,0,0.079923511,Jessica-A
159384.5,177,51872.15062,1787095.5,4004.708973,489,2826.961052,-58.81663023,-25476.60884,22.8828125,-82.32782124,-1.667062452,0,0.015206128,Megan-F
121387,131.5,129635.4239,2324839.25,3968.738247,213,597.9921803,-17.30301934,-20794.11714,6.614955357,-32.29334864,-1.715346799,0,0.032821724,Megan-F
82276.125,172.5,173432.5242,5751451.75,2776.383532,292.5,882.3781708,-23.83346144,-13876.30795,5.713169643,-35.67026245,-1.805626876,0,0.008181336,Megan-F
72265.875,1982.75,763425.0728,4049969.75,2901.694864,3257.25,675008.4451,-1578.733714,-12860.33146,2648.352679,-1874.91454,-1.811506205,0,0.089404896,Megan-F
103853.5,1631,183508.6098,2956892,3516.932308,4138,1153655.24,-2107.272668,-18337.88589,6357.245536,-2644.002189,-1.74452022,0,0.17003717,Megan-F
102844.625,571,123554.8602,2336784,3590.607404,926,14470.26685,-164.6719373,-20173.46187,53.79352679,-214.2315786,-1.723300251,0,0.028593789,Megan-F
312287.25,5504.25,78308.50377,4914611.25,4280.442046,9953.25,12238115,-7838.565225,-24746.66981,50425.41071,-9103.962883,-1.671053675,0,0.167692587,Megan-F
166746.625,1232.75,96869.16729,4259270,3913.000686,1499.25,88358.16746,-482.5495414,-20767.27207,293.3392857,-611.4751984,-1.719369226,0,0.015810151,Megan-F
162347.75,608.25,96354.17756,3361417.5,4019.447769,796.75,12345.73349,-142.5800431,-23866.02521,64.76785714,-208.7316796,-1.682974562,0,0.035409853,Megan-F
192995.375,1762.25,79921.19133,2518005.75,4397.894858,13388.75,6475973.606,-5620.860932,-22981.86924,46177.2221,-6748.628992,-1.686320545,0,0.234917967,Megan-F
116399.5,243.5,95661.29571,2908266.25,3298.609092,740,8531.335223,-118.0505337,-20393.45345,74.85714286,-175.2527808,-1.724111888,0,0.052856659,Megan-F
108430.25,14.25,131198.3058,4565682.25,3944.577148,7.75,7.230139615,0.693147181,-17537.20226,0.034598214,0.693147181,-1.755763851,0,0,Megan-F
131751.625,4310.25,138544.2341,4123240.75,3602.468392,6846.75,3564816.297,-3918.468664,-19203.1196,11923.57143,-4681.638501,-1.735372994,0,0.126912173,Megan-F
93712.375,1847,165815.0227,3110075,3347.608283,7635.5,1909889.405,-2799.490662,-17944.7826,11574.92411,-3481.724309,-1.749070246,0,0.124691685,Megan-F
184478.125,1977.75,58623.95684,2441818.75,4158.742701,4156.25,817066.0307,-1693.562043,-27189.71804,4398.142857,-2213.120046,-1.647468324,0,0.223847465,Megan-F
130967.375,2836,127334.5801,4253760.25,3715.801558,5418.5,1619508.641,-2489.91923,-20106.07787,6935.936384,-3156.652632,-1.723525068,0,0.17303254,Megan-F
80917,263,343071.0141,2692819,3676.908977,2323.5,121526.0248,-652.2709978,-15081.36757,1780.123884,-766.1411053,-1.783396547,0,0.42807866,Megan-F
256854.625,2939.75,71902.40082,3873260.25,4661.599067,7302.25,2716285.032,-3336.185692,-26613.53255,13358.67857,-4206.482383,-1.644056543,0,0.23759411,Megan-F
119400.375,2722.5,226524.2429,3691182,3591.725022,6410,2835374.127,-3463.684269,-18072.03856,12659.30246,-4244.42959,-1.744582551,0,0.161870602,Megan-F
144345.5,1344.5,90448.96742,3602322.75,3799.590416,3940.5,391813.8253,-1149.254297,-21853.64385,2468.138393,-1451.274792,-1.706111631,0,0.087486734,Megan-F
127059.125,333.5,122131.5999,3785073.25,3636.386428,863.5,10755.71023,-140.3150388,-19523.99662,72.29910714,-184.3360631,-1.733031676,0,0.027403649,Megan-F
127650.125,55.75,179095.4171,3511416,3675.967798,316.25,1024.223223,-31.4654766,-19834.97349,15.56696429,-40.62825047,-1.724262047,0,0.046777451,Megan-F
281879.125,0,49988.8154,1204227.75,4987.207568,0,0,0,-32500.03679,0,0,-1.593273508,0,0,Megan-F
373895.625,5829.25,86543.96707,5921567.25,3536.1033,7069.25,13765552.75,-8574.935181,-20085.13704,61571.04911,-9471.899042,-1.725979546,0,0.057347867,Megan-F
126008.875,1667.25,201816.8231,4213031.25,3827.254609,5325.75,2443949.633,-3175.291514,-16821.11448,17523.78571,-4107.979624,-1.763406395,0,0.358504159,Megan-F
